Density (g/cm³),acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,298,3.4412688888888887,0.0428842519370168,0.0002508556352318573,7.521283950617283,7.034636804324354,0.15530864197530864,0.002618273747152541
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,348,3.445619135802469,0.0458063066227092,0.0002840866751602,7.984197530864198,8.007816660281707,0.1549135802469135,0.002470555147611
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,298,3.447938765432099,0.0447504858207359,0.0002547766293876,8.361271604938272,7.258157146328445,0.1539876543209876,0.0026965630944743
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,348,3.4486171604938263,0.0438536326812798,0.0002609935248125,8.930234567901234,7.54673197732439,0.1543086419753086,0.002225785894269
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,298,3.44705962962963,0.0447496368271198,0.0002549387752827,8.037197530864198,7.243137762899418,0.1539629629629629,0.0025163389261426
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,348,3.446893456790124,0.0438063661352608,0.0002587975923916,7.785580246913581,7.171262999569359,0.1542469135802469,0.0021575641512144
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,280,3.444529259259259,0.0432336312499452,0.0002311128732098,8.209172839506172,6.857572753452342,0.1538518518518518,0.0029064046395279
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,298,3.4412688888888887,0.0428842519370168,0.0002508556352318,7.521283950617283,7.034636804324354,0.1553086419753086,0.0026182737471525
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,348,3.445619135802469,0.0458063066227092,0.0002840866751602,7.984197530864198,8.007816660281707,0.1549135802469135,0.002470555147611
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,280,3.440723827160494,0.0426079514276269,0.0002143548996817,7.322691358024691,6.4188041531575,0.1534074074074073,0.0022758950364055
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,298,3.447938765432099,0.0447504858207359,0.0002547766293876,8.361271604938272,7.258157146328445,0.1539876543209876,0.0026965630944743
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,348,3.4486171604938263,0.0438536326812798,0.0002609935248125,8.930234567901234,7.54673197732439,0.1543086419753086,0.002225785894269
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,280,3.4427718518518517,0.0404758596584329,0.000222282877386,7.449518518518519,6.175282843746864,0.1540864197530864,0.0027496241308303
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,298,3.44705962962963,0.0447496368271198,0.0002549387752827,8.037197530864198,7.243137762899418,0.1539629629629629,0.0025163389261426
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,348,3.446893456790124,0.0438063661352608,0.0002587975923916,7.785580246913581,7.171262999569359,0.1542469135802469,0.0021575641512144
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1cccc(C)c1,5,298,3.4500374074074074,0.0447302712088163,0.000321965322953,9.905888888888889,7.873992310993213,0.1542839506172839,0.0021786538368385
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1cccc(C)c1,5,348,3.450843703703704,0.0450476801842923,0.0002833145809146,9.525950617283952,8.094979231782713,0.1544814814814814,0.0023418422162277
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CO),5,298,3.442516419753086,0.0428579775569058,0.0002590184999101,7.544000000000001,6.943458765603036,0.1538395061728395,0.0024162862542148
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CO),5,348,3.44466975308642,0.0428773669029667,0.0002656465349731,7.634185185185186,7.074158441614414,0.1545061728395061,0.0025098495198122
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(Br),5,298,3.439923456790124,0.0435064136370349,0.0002494361139218,7.021037037037038,6.891227610976333,0.1541234567901234,0.0018684033987548
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(Br),5,348,3.445967654320988,0.0473337591861804,0.0002834857119249,8.557925925925925,8.180845266747419,0.1543703703703703,0.0029289716918174
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(F),5,298,3.447317160493826,0.0441410656266163,0.0002996670226486,7.843987654320989,7.137113301874799,0.1545185185185185,0.0026948103353453
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(F),5,348,3.4433371604938268,0.0431031959868741,0.0002641866874937,7.544296296296294,7.305565580803337,0.1545061728395061,0.0024501118986294
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=CCl,5,298,3.446963950617284,0.0450036557274747,0.0002732899638624,8.244123456790124,7.28246379313613,1.136358024691358,0.0554753440154184
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=CCl,5,348,3.4500708641975306,0.0453373371107104,0.0003042602072696,8.424740740740742,7.940768886766039,1.0703086419753087,0.0322534875041515
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,CC=C;C=CCl,5,298,3.453091604938272,0.0451225404091982,0.0003084709084408,9.339382716049382,8.109155209487183,1.1862345679012345,0.0303556172135937
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,CC=C;C=CCl,5,348,3.447644938271605,0.0448746569332038,0.0002861806727418,8.501827160493828,7.905839287155036,1.1848024691358028,0.0298466946090945
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(CN),5,298,3.4479379012345683,0.043096990319598,0.0002495356941661,8.978160493827161,7.077070464320514,0.1554074074074074,0.0022650199779882
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(CN),5,348,3.4544987654320987,0.0478796190662857,0.0003567920337697,10.57674074074074,8.366650132457881,0.154716049382716,0.002019867786293
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=Cc1cccc(C)c1,5,348,3.460120740740741,0.0479670348936468,0.0003440218276342,11.957543209876544,8.686247002524949,0.1553827160493827,0.0022584158177341
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(CO),5,298,3.451021975308642,0.0446207153746171,0.0002894392066378,10.238333333333332,7.889826000678828,0.1548148148148148,0.0026764224837243
1.049,acetic_acid,CC(O)=O,8.884501480750248e-05,C=Cc1ccccc1;C=C(CO),5,348,3.4454714814814813,0.0429830153395705,0.0002435773846457,8.860246913580248,7.386549978238081,0.1553703703703703,0.0022023805551582
