Solvent_SMILES,Density,Polymer_SMILES,Interaction_Label,Encoded_Label
O,1.0,C=CC(=O)N1CCCC1=O,Y,1
O,1.0,C=CC(=O)OC,N,0
O,1.0,C=C(C(=O)OC)C,N,0
O,1.0,C=Cc1ccccc1,N,0
CC(=O)C,0.785,C=CC(=O)N1CCCC1=O,Y,1
CC(=O)C,0.785,C=CC(=O)OC,Y,1
CC(=O)C,0.785,C=C(C(=O)OC)C,Y,1
CC(=O)C,0.785,C=Cc1ccccc1,INTERACTION,2
CCO,0.789,C=CC(=O)N1CCCC1=O,Y,1
CCO,0.789,C=CC(=O)OC,Y,1
CCO,0.789,C=C(C(=O)OC)C,N,0
CCO,0.789,C=Cc1ccccc1,N,0
CC(C)O,0.785,C=CC(=O)N1CCCC1=O,Y,1
CC(C)O,0.785,C=CC(=O)OC,INTERACTION,2
CC(C)O,0.785,C=C(C(=O)OC)C,N,0
CC(C)O,0.785,C=Cc1ccccc1,N,0
CCOC(=O)C,0.894,C=CC(=O)N1CCCC1=O,N,0
CCOC(=O)C,0.894,C=CC(=O)OC,Y,1
CCOC(=O)C,0.894,C=C(C(=O)OC)C,Y,1
CCOC(=O)C,0.894,C=Cc1ccccc1,Y,1
CCCCCCC,0.684,C=CC(=O)N1CCCC1=O,INTERACTION,2
CCCCCCC,0.684,C=CC(=O)OC,N,0
CCCCCCC,0.684,C=C(C(=O)OC)C,N,0
CCCCCCC,0.684,C=Cc1ccccc1,INTERACTION,2
CC#N,0.786,C=CC(=O)N1CCCC1=O,Y,1
CC#N,0.786,C=CC(=O)OC,Y,1
CC#N,0.786,C=C(C(=O)OC)C,Y,1
CC#N,0.786,C=Cc1ccccc1,INTERACTION,2
C1CCOC1,0.887,C=CC(=O)N1CCCC1=O,INTERACTION,2
C1CCOC1,0.887,C=CC(=O)OC,Y,1
C1CCOC1,0.887,C=C(C(=O)OC)C,Y,1
C1CCOC1,0.887,C=Cc1ccccc1,Y,1
CC(CO)O,1.036,C=CC(=O)N1CCCC1=O,Y,1
CC(CO)O,1.036,C=CC(=O)OC,N,0
CC(CO)O,1.036,C=C(C(=O)OC)C,N,0
CC(CO)O,1.036,C=Cc1ccccc1,N,0
O=Cc1ccccc1,1.044,C=CC(=O)N1CCCC1=O,Y,1
O=Cc1ccccc1,1.044,C=CC(=O)OC,Y,1
O=Cc1ccccc1,1.044,C=C(C(=O)OC)C,Y,1
O=Cc1ccccc1,1.044,C=Cc1ccccc1,Y,1
CS(=O)C,1.092,C=CC(=O)N1CCCC1=O,Y,1
CS(=O)C,1.092,C=CC(=O)OC,Y,1
CS(=O)C,1.092,C=C(C(=O)OC)C,Y,1
CS(=O)C,1.092,C=Cc1ccccc1,N,0
CC(=O)O,1.049,C=CC(=O)N1CCCC1=O,Y,1
CC(=O)O,1.049,C=CC(=O)OC,Y,1
CC(=O)O,1.049,C=C(C(=O)OC)C,Y,1
CC(=O)O,1.049,C=Cc1ccccc1,N,0
O=CO,1.22,C=CC(=O)N1CCCC1=O,Y,1
O=CO,1.22,C=CC(=O)OC,Y,1
O=CO,1.22,C=C(C(=O)OC)C,Y,1
O=CO,1.22,C=Cc1ccccc1,N,0
c1ccncc1,0.982,C=CC(=O)N1CCCC1=O,Y,1
c1ccncc1,0.982,C=CC(=O)OC,Y,1
c1ccncc1,0.982,C=C(C(=O)OC)C,Y,1
c1ccncc1,0.982,C=Cc1ccccc1,Y,1
CN(C)C=O,0.944,C=CC(=O)N1CCCC1=O,Y,1
CN(C)C=O,0.944,C=CC(=O)OC,Y,1
CN(C)C=O,0.944,C=C(C(=O)OC)C,Y,1
CN(C)C=O,0.944,C=Cc1ccccc1,Y,1
CCCCO,0.81,C=CC(=O)N1CCCC1=O,Y,1
CCCCO,0.81,C=CC(=O)OC,INTERACTION,2
CCCCO,0.81,C=C(C(=O)OC)C,N,0
CCCCO,0.81,C=Cc1ccccc1,N,0
C1COCCO1,1.033,C=CC(=O)N1CCCC1=O,Y,1
C1COCCO1,1.033,C=CC(=O)OC,Y,1
C1COCCO1,1.033,C=C(C(=O)OC)C,Y,1
C1COCCO1,1.033,C=Cc1ccccc1,Y,1
CN1CCCC1=O,1.028,C=CC(=O)N1CCCC1=O,Y,1
CN1CCCC1=O,1.028,C=CC(=O)OC,Y,1
CN1CCCC1=O,1.028,C=C(C(=O)OC)C,Y,1
CN1CCCC1=O,1.028,C=Cc1ccccc1,Y,1
COCCOCCO,1.018,C=CC(=O)N1CCCC1=O,Y,1
COCCOCCO,1.018,C=CC(=O)OC,Y,1
COCCOCCO,1.018,C=C(C(=O)OC)C,Y,1
COCCOCCO,1.018,C=Cc1ccccc1,N,0
COC(=O)OC,1.069,C=CC(=O)N1CCCC1=O,INTERACTION,2
COC(=O)OC,1.069,C=CC(=O)OC,Y,1
COC(=O)OC,1.069,C=C(C(=O)OC)C,Y,1
COC(=O)OC,1.069,C=Cc1ccccc1,INTERACTION,2
ClCCl,1.326,C=CC(=O)N1CCCC1=O,Y,1
ClCCl,1.326,C=CC(=O)OC,Y,1
ClCCl,1.326,C=C(C(=O)OC)C,Y,1
ClCCl,1.326,C=Cc1ccccc1,Y,1
CCCCCCCCO,0.827,C=CC(=O)N1CCCC1=O,Y,1
CCCCCCCCO,0.827,C=CC(=O)OC,N,0
CCCCCCCCO,0.827,C=C(C(=O)OC)C,N,0
CCCCCCCCO,0.827,C=Cc1ccccc1,N,0
Cc1ccccc1,0.867,C=CC(=O)N1CCCC1=O,INTERACTION,2
Cc1ccccc1,0.867,C=CC(=O)OC,Y,1
Cc1ccccc1,0.867,C=C(C(=O)OC)C,Y,1
Cc1ccccc1,0.867,C=Cc1ccccc1,Y,1
CO,0.791,C=CC(=O)N1CCCC1=O,Y,1
CO,0.791,C=CC(=O)OC,Y,1
CO,0.791,C=C(C(=O)OC)C,N,0
CO,0.791,C=Cc1ccccc1,N,0
